,horse_name,predSingle,,IN_CRITICAL,,
47,Ruby Ash,5.266666667,,Ruby Ash,,"{'horse' : 'Ruby Ash', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Ruby Ash_F1.wav'}, "
48,Flashfire,5.666666667,,Flashfire,,"{'horse' : 'Flashfire', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Flashfire_F1.wav'}, "
49,Lovelace,6,,#N/A,,"{'horse' : 'Lovelace', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Lovelace_F1.wav'}, "
50,Solar Flash,6.4,,#N/A,,"{'horse' : 'Solar Flash', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Solar Flash_F1.wav'}, "
51,Port Louis,7.966666667,,#N/A,,"{'horse' : 'Port Louis', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Port Louis_F1.wav'}, "
52,Urban Legend,6.433333333,,Urban Legend,,"{'horse' : 'Urban Legend', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Urban Legend_F1.wav'}, "
53,Nightfall,5.8,,Nightfall,,"{'horse' : 'Nightfall', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Nightfall_F1.wav'}, "
54,Steady Fighter,5.733333333,,Steady Fighter,,"{'horse' : 'Steady Fighter', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Steady Fighter_F1.wav'}, "
55,Indigo Marc,7.366666667,,#N/A,,"{'horse' : 'Indigo Marc', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Indigo Marc_F1.wav'}, "
56,Gallant Storm,4.733333333,,#N/A,,"{'horse' : 'Gallant Storm', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Gallant Storm_F1.wav'}, "
57,Brave Horizon,6.966666667,,Brave Horizon,,"{'horse' : 'Brave Horizon', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Brave Horizon_F1.wav'}, "
58,Saffron Crest,6.666666667,,Saffron Crest,,"{'horse' : 'Saffron Crest', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Saffron Crest_F1.wav'}, "
59,Comet Stride,5.266666667,,#N/A,,"{'horse' : 'Comet Stride', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Comet Stride_F1.wav'}, "
60,Midnight Inferno,5.966666667,,#N/A,,"{'horse' : 'Midnight Inferno', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Midnight Inferno_F1.wav'}, "
61,Lightning Monarch,6.666666667,,Lightning Monarch,,"{'horse' : 'Lightning Monarch', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Lightning Monarch_F1.wav'}, "
62,Blue Blaze,6.966666667,,#N/A,,"{'horse' : 'Blue Blaze', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Blue Blaze_F1.wav'}, "
63,Worthing,6.366666667,,Worthing,,"{'horse' : 'Worthing', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Worthing_F1.wav'}, "
64,Leeloo,5.4,,#N/A,,"{'horse' : 'Leeloo', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Leeloo_F1.wav'}, "
